,Rank,Previous Rank,Track Name,Artist Names,Weeks on Chart,Views,Weekly Growth,YouTube URL,Weekly,Video_id,publishedAt,Classification
59,60,50.0,Tudo É Fase (feat. DJ WN & Mc Havi),MC Lele JP,5,2254190,-11.7%,https://www.youtube.com/watch?v=QiXzcQTLIrw,2022-04-07,QiXzcQTLIrw,2022-03-22 15:00:11,Frontline
60,61,52.0,A Cara do Crime 2 (Cansou de Playboy),"Mc Poze do Rodo, Bielzin, Xamã & MC Cabelinho",12,2216729,-9.7%,https://www.youtube.com/watch?v=PJqHlzBiZ0A,2022-04-07,PJqHlzBiZ0A,2022-01-19 22:00:32,Frontline
61,62,66.0,Mal Caminho,"Dj Joao Da Inestan, Mc J mito & DJ Tg da Inestan",2,2145988,9.2%,https://www.youtube.com/watch?v=WIv_TesjWMk,2022-04-07,WIv_TesjWMk,2022-04-07 16:02:36,Frontline
62,63,,Assault (Carro Forte),"Orochi, Chefin, Oruam, Borges, Mainstreet & Bielzin",1,2113350,,https://www.youtube.com/watch?v=n43oZSY7df0,2022-04-07,n43oZSY7df0,2022-04-05 21:00:20,Frontline
63,64,60.0,Saudade e Solidão (En Vivo),Vitor Fernandes,15,2110171,1.6%,https://www.youtube.com/watch?v=SNbURUnTYCM,2022-04-07,SNbURUnTYCM,2021-12-23 21:00:12,Frontline
64,65,,As It Was,Harry Styles,1,2060196,,https://www.youtube.com/watch?v=H5v3kku4y6Q,2022-04-07,H5v3kku4y6Q,2022-03-31 23:00:10,Frontline
65,66,62.0,Mais um Favelado,"Dj GM, Mc Lipi , MC Lele JP, MC Lemos & MC Liro",15,2011000,-3.1%,https://www.youtube.com/watch?v=txqvRehMqRg,2022-04-07,txqvRehMqRg,2021-10-28 21:00:20,Frontline
66,67,61.0,ESSÊNCIA DE CRIA (feat. Neo Beats),"MC Cabelinho, Bielzin, Mc Poze do Rodo & Tz da Coronel",16,1951239,-6.1%,https://www.youtube.com/watch?v=hyDElqwFnYI,2022-04-07,hyDElqwFnYI,2021-12-20 22:30:11,Frontline
67,68,71.0,Sem Dó,Matuê & L7NNON,14,1949574,6.3%,https://www.youtube.com/watch?v=G-zyOLsfEBQ,2022-04-07,G-zyOLsfEBQ,2021-12-31 00:08:22,Frontline
68,69,69.0,SET Vila Clara Store,"MC Neguinho do Kaxeta, --, MC Lele JP, MC Hariel, --, MC Marks, MC Joãozinho VT & DJ BOY",5,1909691,-0.1%,https://www.youtube.com/watch?v=W3Xhpmix4KQ,2022-04-07,W3Xhpmix4KQ,2022-02-23 21:00:12,Frontline
69,70,59.0,Não Vou Te Bloquear (Ao Vivo),"MC Don Juan, Tarcísio do Acordeon & DG e Batidão Stronda",15,1909380,-9.7%,https://www.youtube.com/watch?v=6lsOfEHb4C4,2022-04-07,6lsOfEHb4C4,2021-11-08 15:00:12,Frontline
70,71,70.0,Idiota (Ao Vivo),Jão,12,1873373,0%,https://www.youtube.com/watch?v=r2gppKSvBLE,2022-04-07,r2gppKSvBLE,2021-10-29 15:00:03,Frontline
71,72,58.0,Unstoppable,Sia,10,1825198,-14.9%,https://www.youtube.com/watch?v=YaEG2aWJnZ8,2022-04-07,YaEG2aWJnZ8,2021-09-27 20:55:30,Frontline
72,73,,"4M Vibes (feat. Mc Davi, Mc Leh, MC Hariel, Mc Luki & Dj Oreia)","Mc IG, MC PH & MC Pedrinho",1,1822643,,https://www.youtube.com/watch?v=UxuSPF2k5ME,2022-04-07,UxuSPF2k5ME,2022-03-30 15:00:12,Frontline
73,74,54.0,NO CHÃO NOVINHA,Anitta & PEDRO SAMPAIO,17,1805423,-23.1%,https://www.youtube.com/watch?v=ls74YCwYB4k,2022-04-07,ls74YCwYB4k,2021-12-10 15:00:33,Frontline
74,75,56.0,Socadona (feat. Mr. Vegas),"Ludmilla, Mariah Angeliq  & Topo La Mascara",10,1785169,-19.5%,https://www.youtube.com/watch?v=15wVHmz_Aag,2022-04-07,15wVHmz_Aag,2021-11-20 15:00:25,Frontline
75,76,73.0,Coração Gelado 3,"MC Ryan SP, MC Letto, Mc IG, MC Joãozinho VT, DJ BOY, Mc Kako, MC Leozinho ZS & MC V7",16,1768714,-2.5%,https://www.youtube.com/watch?v=2PkxaVyVLpE,2022-04-07,2PkxaVyVLpE,2021-12-17 21:00:12,Frontline
76,77,,Ex Alcoolizado (Ao Vivo),Israel & Rodolffo,1,1748820,,https://www.youtube.com/watch?v=nqNw14agII8,2022-04-07,nqNw14agII8,2022-04-01 14:59:34,Frontline
77,78,65.0,50 por Cento,Naiara Azevedo & Marília Mendonça,5,1747276,-12.2%,https://www.youtube.com/watch?v=zhaTkKdovgM,2022-04-07,zhaTkKdovgM,2022-03-04 00:00:13,Frontline
78,79,67.0,Cruzeiro da Revoada,Hungria Hip-Hop & MC Ryan SP,17,1744042,-9.2%,https://www.youtube.com/watch?v=kezf4Fo7B9M,2022-04-07,kezf4Fo7B9M,2021-12-02 14:00:10,Frontline
79,80,63.0,We Don't Talk About Bruno,"La Gaita, Mauro Castillo, Adassa, Rhenzy Feliz, Diane Guerrero, Stephanie Beatriz & Encanto - Cast",5,1703502,-15.2%,https://www.youtube.com/watch?v=bvWRMAU6V-c,2022-04-07,bvWRMAU6V-c,2021-12-29 05:00:27,Frontline
80,81,,Voltei pra Cachorrada,"DJ Jeeh FDC, MC Meno Dani & DJ Cyclone",12,1670884,,https://www.youtube.com/watch?v=0aZWoY4rkFo,2022-04-07,0aZWoY4rkFo,2021-11-18 00:26:42,Frontline
81,82,75.0,Outro Patamar,Hungria Hip-Hop & Mc Lipi ,4,1645334,-8.5%,https://www.youtube.com/watch?v=IbJRLeenTSQ,2022-04-07,IbJRLeenTSQ,2022-03-11 14:00:04,Frontline
82,83,83.0,Sigo na Fé do Pai,"Bielzin, Mc Poze do Rodo, MC Ryan SP & Salvador da Rima",7,1620983,-1.2%,https://www.youtube.com/watch?v=76_J1jZLp5s,2022-04-07,76_J1jZLp5s,2022-03-10 15:00:08,Frontline
83,84,,Mustang Preto,Teto,16,1615468,,https://www.youtube.com/watch?v=iDJM3HTdjck,2022-04-07,iDJM3HTdjck,2021-10-11 00:00:10,Frontline
84,85,74.0,LEILÃO,Gloria Groove,19,1606606,-11.3%,https://www.youtube.com/watch?v=X7cz9v6mHzg,2022-04-07,X7cz9v6mHzg,2021-11-26 14:00:23,Frontline
85,86,,Sentimentalmente Esperto (Ao Vivo),Henrique & Juliano,1,1604204,,https://www.youtube.com/watch?v=CbqAdDo2yCM,2022-04-07,CbqAdDo2yCM,2022-04-02 15:00:13,Frontline
86,87,90.0,Easy On Me,Adele,17,1582390,2.6%,https://www.youtube.com/watch?v=X-yIEMduRXk,2022-04-07,X-yIEMduRXk,2021-11-19 05:00:21,Frontline
87,88,92.0,Tá Chorando Por Quê?,Amanda Wanessa,15,1564214,2.4%,https://www.youtube.com/watch?v=xdr1Wg_cgSo,2022-04-07,xdr1Wg_cgSo,2020-10-26 13:00:28,Frontline
88,89,85.0,Hoje Eu Vou Te Usar,Mari Fernandez & Felipe Amorim,6,1557156,-3.3%,https://www.youtube.com/watch?v=_0bDIQgliHg,2022-04-07,_0bDIQgliHg,2022-02-04 13:59:29,Frontline
89,90,91.0,"MT Eu Fiquei Com Uma Puta, Uma Puta Vontade VS Beat Serie Gold",Dj menor do sb,12,1545647,0.8%,https://www.youtube.com/watch?v=UL7-YIS_R4Y,2022-04-07,UL7-YIS_R4Y,2022-03-19 10:07:54,Frontline
90,91,78.0,Chá De Casa Nova (Ao Vivo),Henrique & Juliano,17,1539095,-9.1%,https://www.youtube.com/watch?v=9Et53l5l-FE,2022-04-07,9Et53l5l-FE,2021-12-10 15:00:12,Frontline
91,92,77.0,ONDA DO BERIMBAU,dj eduardo da favela do pó & MC Menor MT,15,1522912,-10.6%,https://www.youtube.com/watch?v=uiF6lbyVS-4,2022-04-07,uiF6lbyVS-4,2022-01-18 21:00:32,Frontline
92,93,81.0,Quebradas,"MC Paulin da Capital, Mc Lipi , Dj GM & MC Cabelinho",18,1522194,-8.5%,https://www.youtube.com/watch?v=ENHwrVK0wn8,2022-04-07,ENHwrVK0wn8,2021-12-02 21:00:09,Frontline
93,94,84.0,Amava Nada (Ao Vivo),Lucas Lucco & Marília Mendonça,9,1502730,-8.1%,https://www.youtube.com/watch?v=4FaHeREoRUc,2022-04-07,4FaHeREoRUc,2022-02-04 15:00:05,Frontline
94,95,86.0,Passando o Rodo (feat. Lara Silva),"POCAH, MC Mirella & Tainá Costa",18,1500380,-5.7%,https://www.youtube.com/watch?v=IEDv84S-gqw,2022-04-07,IEDv84S-gqw,2021-12-04 21:00:03,Frontline
95,96,99.0,Incrivel Jogando a Potranca,Mc Gabzin & DJ Swat,5,1485245,4.4%,https://www.youtube.com/watch?v=H7Ou8HPU3Ko,2022-04-07,H7Ou8HPU3Ko,2022-01-16 01:00:11,Frontline
96,97,72.0,Maldivas,Ludmilla,10,1469900,-19.7%,https://www.youtube.com/watch?v=VsIp4-vnqlw,2022-04-07,VsIp4-vnqlw,2022-01-27 00:00:53,Frontline
97,98,93.0,Se Não For Por Amor (Ao Vivo),Amado Batista,2,1467646,-2.8%,https://www.youtube.com/watch?v=4Z8cuCZKR5E,2022-04-07,4Z8cuCZKR5E,2022-03-25 13:53:57,Frontline
98,99,94.0,Universo Conspirou (Ao Vivo),Henrique & Juliano,12,1465412,-2.3%,https://www.youtube.com/watch?v=FpsTsW408s4,2022-04-07,FpsTsW408s4,2021-12-10 15:15:12,Frontline
99,100,,Espelho do Poder (Ao Vivo),Conde So Brega & João Gomes,1,1444658,,https://www.youtube.com/watch?v=MdRHwAbnDhM,2022-04-07,MdRHwAbnDhM,2022-03-09 22:00:27,Frontline
0,1,1.0,Sentadona (Remix),"Davi Kneip, Mc Frog, Dj Gabriel do Borel & Luísa Sonza",7,12837114,4.1%,https://www.youtube.com/watch?v=VKaLjHZJ-GY,2022-04-14,VKaLjHZJ-GY,2022-03-18 14:01:02,Frontline
1,2,3.0,Malvada,Zé Felipe,11,9827508,-0.5%,https://www.youtube.com/watch?v=r0mNwyywHIY,2022-04-14,r0mNwyywHIY,2022-01-28 15:00:12,Frontline
2,3,7.0,Balanço Da Rede (Ao Vivo),Matheus Fernandes,5,9669923,19.4%,https://www.youtube.com/watch?v=vAM1xXdRnH0,2022-04-14,vAM1xXdRnH0,2022-02-25 14:00:08,Frontline
3,4,8.0,Termina Comigo Antes (Ao Vivo),Gusttavo Lima,2,9450229,22.3%,https://www.youtube.com/watch?v=rTJSWmgbVwA,2022-04-14,rTJSWmgbVwA,2022-04-01 13:58:36,Frontline
4,5,31.0,Desenrola Bate Joga de Ladin (feat. DJ Biel do Furduncinho),"L7NNON, Os Hawaianos & DJ Bel da CDD",2,9396945,155.4%,https://www.youtube.com/watch?v=273pasBKH18,2022-04-14,273pasBKH18,2022-04-07 01:40:57,Frontline
5,6,2.0,Vampiro,"Matuê, Wiu & Teto",2,9040908,-19%,https://www.youtube.com/watch?v=TKqa-ZXGKYA,2022-04-14,TKqa-ZXGKYA,2022-04-02 00:00:12,Frontline
6,7,6.0,Botadinha Saliente,MC Rogerinho,10,9030632,9.6%,https://www.youtube.com/watch?v=kyjtx28z-bE,2022-04-14,kyjtx28z-bE,2022-01-28 15:00:10,Frontline
7,8,13.0,No Ouvidinho,Felipe Amorim,3,8778298,36%,https://www.youtube.com/watch?v=eYuI4krrKBM,2022-04-14,eYuI4krrKBM,2022-04-08 15:00:24,Frontline
8,9,4.0,Fim de Semana no Rio,Teto,3,8275307,-7.8%,https://www.youtube.com/watch?v=7AlAYttGnAg,2022-04-14,7AlAYttGnAg,2022-03-31 00:00:12,Frontline
9,10,12.0,Bloqueado (Ao Vivo),Gusttavo Lima,20,7727136,16.6%,https://www.youtube.com/watch?v=14C28JSO-sg,2022-04-14,14C28JSO-sg,2021-11-26 13:59:45,Frontline
10,11,9.0,Cê Tá Preparada (Ao Vivo),Tayrone & Marília Mendonça,39,7468333,1%,https://www.youtube.com/watch?v=jW7j41mbxXU,2022-04-14,jW7j41mbxXU,2021-07-16 14:03:42,Frontline
