Rank,Previous Rank,Track Name,Artist Names,Weeks on Chart,Views,Weekly Growth,YouTube URL
59,66,Another Love,Tom Odell,15,2296741,14.7%,https://www.youtube.com/watch?v=MwpMEbgC7DA
60,47,Festa de Vagabundo,Mc Paiva ZS & Kotim,18,2267076,-8.6%,https://www.youtube.com/watch?v=8xxXjzRlcjQ
61,55,Baile no Morro,MC Tairon & Mc Vitin da Igrejinha,17,2240541,2%,https://www.youtube.com/watch?v=4zhowmwBCuw
62,58,Perfeito Pra Ficar Sozinho (Ao Vivo),Murilo Huff & Maiara & Maraisa,10,2239420,3.1%,https://www.youtube.com/watch?v=IOuLc9ZhLuQ
63,63,Mina Sensação,Deavele Santos & Juventude Forrozeira,12,2234561,10.4%,https://www.youtube.com/watch?v=BedRL-vSSoE
64,57,Temporal,Hungria Hip-Hop,4,2214293,1.6%,https://www.youtube.com/watch?v=bwGftC32wNw
65,92,Horas Iguais,WIU & Oruam,2,2200134,34.8%,https://www.youtube.com/watch?v=hr_83ZXhmOI
66,61,O Chamado,"Chefin, Mc Poze do Rodo & Mainstreet",10,2186032,5.7%,https://www.youtube.com/watch?v=N9liPvylviE
67,,Não Fosse Tão Tarde (Ao Vivo),Wesley Safadão & Lucas Aboiador,1,2182629,,https://www.youtube.com/watch?v=s9Kdh7RAjIY
68,52,Não Fosse Tão Tarde,Lou Garcia,10,2160226,-5%,https://www.youtube.com/watch?v=jd00enZSNFc
69,72,Peças De Grife,"Menor MC, Dj Matt D & Oruam",3,2155421,11.3%,https://www.youtube.com/watch?v=emCOBeMdK18
70,67,Pelado,NATTAN,9,2137184,7.8%,https://www.youtube.com/watch?v=3EtO6VToULk
71,,Agora Somos Ex,Nenho,21,2114782,,https://www.youtube.com/watch?v=LA-bc9dX4y0
72,,Ameaça,"Paulo Pires, MC Danny & Marcynho Sensação",39,2093965,,https://www.youtube.com/watch?v=TNIbXs_iNq8
73,77,Boca de Mel,MC Jacaré,4,2090942,12.1%,https://www.youtube.com/watch?v=EaWSOxIBhS4
74,62,O Fim é Triste (feat. DJ BOY),MC Hariel,17,2075105,1.1%,https://www.youtube.com/watch?v=BZ-9iYlDpXc
75,71,Good Vibe,Filipe Ret & Caio Luccas,12,2047775,5.5%,https://www.youtube.com/watch?v=E4J0bFa4d0U
